sample_id,product_name,brands,query,text_blob,image_url,gold_claim_detected,gold_specificity,gold_risk_score,gold_notes
P011,Céréales Muesli croustillant chocolat noir paquet 500g,U,recyclable,"Product name: Céréales Muesli croustillant chocolat noir paquet 500g
Brand: U
Generic name:
Ingredients: Céréales [flocons d'AVOINE complète 50%, flocons de BLE complet 6.5%, farine de BLE 4.9%, céréales extrudées (semoule de riz, farine de BLE 1.7%, sucre, farine de MALT de BLE, sel, sucre caramélisé en poudre), pétales de maïs (maïs, sucre, extrait de MALT D'ORGE, sel, émulsifiant : mono - et diglycérides d'acides gras)], sucre, carrés de chocolat noir 12% [pâte de cacao, sucre, émulsifiant: lécithines, arôme naturel de vanille], huile de tournesol (huile de tournesol, antioxydant : extrait riche en tocophérols), noix de coco en poudre, amidon de maïs, caramel (sucre, eau), arôme naturel. Traces éventuelles de soja, lait et fruits à coque
Labels: Nutriscore, Nutriscore C, Emballage recyclable à 100%, Transformé en France
Categories: Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Mueslis, Mueslis au chocolat
Packaging:",https://images.openfoodfacts.org/images/products/325/622/925/6651/front_fr.21.400.jpg,,,,
P012,"Muesli bio 36% fruits, noix & graines",Jordans,organic,"Product name: Muesli bio 36% fruits, noix & graines
Brand: Jordans
Generic name: Flocons de céréales complètes avec des raisins, des copeaux de noix de coco, des noisettes grillées et des graines de tournesol issus de l'agriculture biologique.
Ingredients: Céréales complètes (64%) (flocons de blé, flocons d'avoine, pétales de blé grillé (13%)), raisins de sultane (16%), raisins secs (11%), copeaux de noix de coco (3,5%), noisettes grillées entières (3%), graines de tournesol (2,5%)
Labels: Low or no salt,Low or no sugar,Organic,Certified by Ecocert,EU Organic,Non-EU Agriculture,EU Agriculture,EU/non-EU Agriculture,FR-BIO-01,GB-ORG-05,No added salt,No added sugar,Nutriscore,Nutriscore Grade A,Soil Association Organic,AB Agriculture Biologique,fr:Fsc-c020188
Categories: Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits
Packaging: Etui en carton,Sac en plastique à jeter,Sachet en plastique,Étui en carton à recycler",https://images.openfoodfacts.org/images/products/501/047/734/8630/front_fr.144.400.jpg,,,,
P013,Salade & Compagnie Manhattan Poulet Roti,Sodebo,neutral::pasta,"Product name: Salade & Compagnie Manhattan Poulet Roti
Brand: Sodebo
Generic name:
Ingredients: Salade composée 80% (spécialités céréalières cuites (eau, semoule de BLE dur, OEUF, sel, curcuma), OEUF, salade 11%, viande de poulet, carottes, FROMAGE à pâte dure, jus de citron, huile de colza, eau, amidon, fécule, dextrose, ferments, sel, arôme naturel, persil). 
Sauce vinaigrette balsamique 7% (huile de colza, huile d'olive vierge, vinaigre de vin (SULFITES), moût de raisin, sel) 
Cookie au chocolat 7% (sucre, farine de BLE, OEUF, BEURRE, huile de colza, pâte et beurre de cacao, poudre de cacao maigre, poudre à lever: bicarbonate de sodium, émulsifiants: lécithines de SOJA, arôme naturel, sel). 
Gressins 4% (farine de BLE, son de BLE, fibre de BLE, semoule de BLE dur, BEURRE, huile d'olive vierge, huile de colza, eau, levure boulangère, sucre, amidon, fécule, sel, graines de pavot, arôme naturel).
Labels: Nutriscore, Nutriscore Grade A, en:fsc-mix
Categories: Meals,Pasta dishes,Prepared salads,Meals with meat,Pasta salads,Poultry meals,Salads with meat,Meals with chicken,Pasta salad with meat,Pasta salad with chicken
Packaging: Frais",https://images.openfoodfacts.org/images/products/324/227/403/0056/front_fr.96.400.jpg,,,,
P014,Protein Cacahuetes🥜 & Chocolat🍫,Nature Valley,neutral::biscuits,"Product name: Protein Cacahuetes🥜 & Chocolat🍫
Brand: Nature Valley
Generic name: Barre protéinée aux cacahuètes et au chocolat
Ingredients: Cacahuètes grillées (38,6%), protéine de soja, oligofructose, sirop de glucose, huiles et graisses végétales (palme, karité, tournesol, colza), sucre, morceaux de chocolat (sucre, pâte de cacao, beurre de cacao, lécithines de soja), maltodextrine, beurre de cacahuètes (1,9%), cacao maigre en poudre, amidon de tapioca, fructose, lactose (lait), humectant (glycérol), émulsifiants (lécithines de soja), sel de cuisine, arôme naturel (lait), stabilisant (carbonate de calcium). Allergènes: voir les ingrédients en gras. Peut contenir des fruits à coques. Sans gluten.
Labels: No gluten,No preservatives,No colorings
Categories: Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Snacks sucrés,Barres,Compléments alimentaires,Barres de fruits à coques,Barres de cacahuètes,Barres protéinées,Biscuits sans gluten
Packaging: Carton",https://images.openfoodfacts.org/images/products/841/007/661/0737/front_fr.68.400.jpg,,,,
P015,Biscuits croquants au coeur onctueux de Nutella®,Nutella,neutral::biscuits,"Product name: Biscuits croquants au coeur onctueux de Nutella®
Brand: Nutella
Generic name: Biscuit fourré à la pâte à tartiner aux noisettes et au cacao Nutella®
Ingredients: Pâte à tartiner aux NOISETTES et au cacao 40% (sucre, huile de palme, NOISETTES 13%**, LAIT écrémé en poudre 8,7%**, cacao maigre 7,4%**, émulsifiants : lécithines [SOJA]; vanilline), farine de FROMENT 32,5%, graisses végétales (palme, palmiste), sucre de canne (contient BLE) 8,5%, LACTOSE, son de BLE, LAIT en poudre, miel, poudres à lever (diphosphate disodique, carbonate acide de sodium, carbonate acide d'ammonium), farine d'ORGE malté, cacao maigre en poudre, sel, extrait en poudre de malt d'ORGE et de maïs, amidon de FROMENT, émulsifiants: lécithines [SOJA]; vanilline.
Labels: Vegetariano,fr:Ponto Verde
Categories: Botanas,Snacks dulces,Galletas y pasteles,en:Biscuits and crackers,Galletas,en:Biscuits/Cookies (Shelf Stable),fr:Biscoitos recheados
Packaging: Plastique,O 7 - Autres plastiques",https://images.openfoodfacts.org/images/products/800/050/031/0427/front_fr.510.400.jpg,,,,
P016,"RICORE au Lait, Café & Chicorée, Boîte 400g","Nestlé, Ricore",neutral::coffee,"Product name: RICORE au Lait, Café & Chicorée, Boîte 400g
Brand: Nestlé, Ricore
Generic name: Préparation instantanée pour café au lait, à la chicorée et aux fibres de chicorée
Ingredients: LAIT entier en poudre (38,9%), PETIT-LAIT filtré en poudre, café soluble (8,0%), fibres de chicorée (oligofructose) (8%), chicorée soluble (7,5%), stabilisant : E331, correcteur d'acidité : E340, sulfate de magnésium.
Labels: Point Vert,Fabriqué en France,Sans sucre ajouté,Nutriscore,Nutriscore B,Triman
Categories: Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based beverages, Beverage preparations, Instant beverages, Instant coffee substitutes, Instant mix of chicory and coffee powder, en:instant-chicory
Packaging: Boîte,Boîte de conserve ou canette,Canette,1 Boîte en métal,1 couvercle Plastique,1 opercule metal",https://images.openfoodfacts.org/images/products/303/371/007/1005/front_fr.209.400.jpg,,,,
P017,Figue & son,Gerblé,neutral::biscuits,"Product name: Figue & son
Brand: Gerblé
Generic name: Biscuits au son de blé et la figue, riches en fibres, magnesium et phosphore, source de fer, et tres pauvres en sodium.
Ingredients: Farine complète de blé 26,5%, farine de blé 26,1%, son de blé 20%, huile de colza, sucre non raffiné, pâte de figues 5,1%, arôme naturel de figue, poudres à lever (carbonates de potassium, carbonates de sodium, acide citrique), arôme naturel, émulsifiant: lécithines.
Labels: No preservatives,Source of fibre,High fibres,Made in France,No colorings,No palm oil,Nutriscore,Nutriscore Grade A,Triman
Categories: Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,fr:Biscuits au son de blé,fr:Biscuits au son de blé et la figue
Packaging: Plastic,Box,Cardboard,fr:Boîte en carton sachet en plastique,fr:Etui en carton,fr:Film en plastique",https://images.openfoodfacts.org/images/products/325/149/033/2080/front_fr.180.400.jpg,,,,
P018,Galettes boulghour & épeautre,Céréal Bio,natural,"Product name: Galettes boulghour & épeautre
Brand: Céréal Bio
Generic name: Spécialité végétale à base de blé et d'épeautre, issue de l'agriculture biologique
Ingredients: Boulgour de blé complet réhydraté 43,5%, petit épeautre cuit (blé) 13,2%, carottes 6%, farine de blé 5,1%, oignons 4,6%, huiles végétales (huile de tournesol oléique, huile de tournesol), concentré de tomates 3,9%, flocons d'avoine complète 3,7%, poivrons rouges 3,2%, gluten de blé 2,8%, flocons de blé complet 2,3%, céleri rave 14%, ail, raisins secs, sel de mer, épices.
Labels: Organic,Vegetarian,Certified by Ecocert,EU Organic,No preservatives,Non-EU Agriculture,Source of fibre,Vegan,Cooked in France,ES-ECO-019-CT,EU Agriculture,EU/non-EU Agriculture,FR-BIO-01,High fibres,Natural colorings,No additives,No colorings,Nutriscore,Nutriscore Grade A,AB Agriculture Biologique,fr:Blé français
Categories: Meat alternatives,Vegetarian patties,Cereals and vegetables patties
Packaging: Carton,Sous atmosphère protectrice,Etui en carton,Film plastique,Plastique recyclable,Sec",https://images.openfoodfacts.org/images/products/317/568/102/8098/front_fr.121.400.jpg,,,,
P019,Délices au Caramel,Lightbody,recyclable,"Product name: Délices au Caramel
Brand: Lightbody
Generic name: Sablés écossais au caramel au sel de Guérande, recouverts de chocolat au lait
Ingredients: Sucre, huile palme, farine de _BLÉ_, poudre de _LAIT_ écrémé (LAIT), farine de _BLÉ_ complète (BLE), beurre de cacao, sirop de glucose, sirop de sucre inverti, pâte de cacao, huile de palmiste, huile de noix de coco, matière grasse de _lait_( LAIT), farine d'_AVOINE_ (AVOINE), sirop de sucre partiellement inverti, poudre de levage (carbonates de sodium, carbonates d'ammonium), _lactose_, sel, émulsifiant (lécithines (_SOJA_)), huile de colza, arôme, gélifiant (pectines), correcteurs d'acidité (tartrate double de sodium et de potassium, triphosphates), maltodextrine
Labels: Végétarien,Au sel de Guérande,Triman,Emballage recyclable à 100%
Categories: Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Pâtisseries, Biscuits au chocolat au lait, Biscuits sablés, Sablés au chocolat, Sablés écossais
Packaging: Plastique,Plastique recyclable,Plastique recyclé",https://images.openfoodfacts.org/images/products/503/076/501/8748/front_fr.91.400.jpg,,,,
P020,"Muesli Superfruits Raisins, cassis, cranberry, myrtille",Bjorg,organic,"Product name: Muesli Superfruits Raisins, cassis, cranberry, myrtille
Brand: Bjorg
Generic name: Mélange biologique de céréales et de fruits
Ingredients: Flocons d'avoine* complète, Raisins secs* 16% (raisins secs*, huile de tournesol*), Flocons de blé* complet, Flocons d'épeautre complet* (blé), Flocons de blé, Amandes entières*, Cassis lyophilisés* 1%, Cranberries lyophilisées* 0,6%, Myrtilles lyophilisées* 0,5%. Peut contenir des traces de lait, d'autres fruits à coque, de graines de sésame, de soja. *Ingrédients biologiques.
Labels: Organic,Certified by Ecocert,EU Organic,Non-EU Agriculture,Source of fibre,DE-ÖKO-001,EU Agriculture,EU/non-EU Agriculture,Green Dot,High fibres,Made in Germany,No added sugar,Nutriscore,Nutriscore Grade A,AB Agriculture Biologique,fr:Entreprise Certifiée B
Categories: Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits
Packaging: fr:Sachet plastique à jeter",https://images.openfoodfacts.org/images/products/322/982/078/2560/front_fr.220.400.jpg,,,,
P021,BjORG AMANDE ALMOND SANS SUCRE- NO SUGAR,Bjorg,organic,"Product name: BjORG AMANDE ALMOND SANS SUCRE- NO SUGAR
Brand: Bjorg
Generic name: boisson biologique à base d'amandes sans sucres et d'algue Lithothamnium calcareum source de calcium, avec arôme naturel, stérilisée UHT
Ingredients: Lait d'amandes 98% (eau 95,2%, amandes 2,8%), amidon de riz, arôme naturel d'amande, sel marin, stabilisants (gomme guar, gomme xanthane)
Labels: Low or no sugar, Organic, Certified by Ecocert, EU Organic, 100% vegetable, Calcium source, Certified B Corporation, FR-BIO-01, FSC, FSC Mix, IT-BIO-007, Made in Italy, No added sugar, No palm oil, Nutriscore, Nutriscore Grade B, AB Agriculture Biologique, fr:Pauvre en acides gras saturés, en:plant-based
Categories: Plant-based foods and beverages,Beverages,Plant-based foods,Dairy substitutes,Milk substitutes,Nuts and their products,Plant-based beverages,Plant-based milk alternatives,Nut-based drinks,Almond-based drinks,Unsweetened plain almond-based drinks
Packaging: Tetra Pak,Récipient,en:Brique,en:Brique en carton,en:Frais",https://images.openfoodfacts.org/images/products/322/982/078/7015/front_en.165.400.jpg,,,,
